genero,sede,ingreso
hombre,Santa Fe,68435.25262314829
mujer,Buenos Aires,100377.60007627775
mujer,Mendoza,28228.65528136239
hombre,Santa Fe,16677.350683895733
hombre,Santa Fe,72529.39791563943
hombre,Buenos Aires,81575.64542107515
hombre,Buenos Aires,176350.18785741794
hombre,Córdoba,186472.93458725736
otros,San Luis,14076.442473839938
hombre,Córdoba,73895.08540936833
hombre,Buenos Aires,363653.9593851324
hombre,Buenos Aires,139904.98874329336
mujer,Buenos Aires,114681.42382180352
mujer,Santa Fe,62351.24663106764
hombre,Buenos Aires,69948.99982261047
mujer,Buenos Aires,88461.583729743
mujer,Santa Fe,39873.102821529086
hombre,Mendoza,95052.96552365935
mujer,Córdoba,110059.39965104854
hombre,Mendoza,88287.59296937556
hombre,Buenos Aires,197246.3039477281
hombre,Córdoba,43507.287375899024
mujer,San Luis,43575.147764444984
mujer,Mendoza,34058.09305364075
hombre,Buenos Aires,140073.19428080987
mujer,Córdoba,161097.14717699043
hombre,Córdoba,123898.67533249522
mujer,Córdoba,45925.8191459426
mujer,Buenos Aires,116375.42749494255
mujer,Buenos Aires,43285.31015022037
mujer,Buenos Aires,124813.20154723573
hombre,Mendoza,223845.5383269793
mujer,San Luis,45610.2962289584
hombre,Buenos Aires,341887.80133942823
hombre,San Luis,64984.92777713253
mujer,Buenos Aires,52411.50432102066
mujer,Córdoba,80773.04506485719
mujer,Buenos Aires,294148.8406416318
hombre,Santa Fe,36478.18982063192
mujer,Santa Fe,7981.634289189374
hombre,Buenos Aires,150002.99951466697
hombre,Mendoza,49458.191721946874
hombre,Buenos Aires,99005.36263742564
mujer,Buenos Aires,86030.26901835512
mujer,Buenos Aires,101443.33523206913
hombre,San Luis,118262.48915978766
hombre,Mendoza,38975.810368785285
hombre,Buenos Aires,130736.62421306841
hombre,Buenos Aires,102536.35524757674
hombre,Buenos Aires,114237.0849931164
mujer,Córdoba,107455.00469244199
mujer,Buenos Aires,104637.38934200801
hombre,Córdoba,27611.748628289086
hombre,Santa Fe,48557.7865948418
hombre,Córdoba,84234.36612571789
mujer,Mendoza,288884.9588095389
hombre,Córdoba,55984.436993045056
hombre,San Luis,48839.12174963953
hombre,San Luis,212325.3369846344
hombre,Buenos Aires,189206.60302151483
hombre,Buenos Aires,91651.09030889606
mujer,Mendoza,43799.660661764814
mujer,Mendoza,28288.107978381155
hombre,Buenos Aires,165944.39691059422
mujer,Mendoza,48822.39510820944
hombre,Córdoba,295629.3179085853
mujer,Córdoba,106522.32943081895
hombre,Mendoza,54461.038436247225
mujer,Buenos Aires,56759.804239552126
hombre,Santa Fe,96628.18717698363
mujer,Buenos Aires,52058.36398393433
mujer,Buenos Aires,81179.56911085334
hombre,Buenos Aires,190974.28969699808
mujer,San Luis,104549.10683847315
mujer,Buenos Aires,36006.51105085477
hombre,Buenos Aires,72795.06234289322
hombre,Buenos Aires,80381.66301239478
mujer,San Luis,58173.65518333223
mujer,Buenos Aires,62767.762029109654
hombre,Mendoza,84670.82494925288
hombre,Buenos Aires,128820.39028919677
mujer,Córdoba,59919.69751530479
hombre,Buenos Aires,360393.2516929651
hombre,Mendoza,259050.00619724495
hombre,Mendoza,41923.99112916417
mujer,Mendoza,36383.99280058913
hombre,Mendoza,36758.17809896587
hombre,Buenos Aires,54250.88147202012
hombre,Mendoza,69052.84836061398
mujer,San Luis,54697.87545215725
mujer,Mendoza,59932.7536180463
mujer,Córdoba,45614.07291941264
mujer,Buenos Aires,64594.545000006794
hombre,Córdoba,118665.86230459696
hombre,Córdoba,193075.3873837407
hombre,Buenos Aires,57215.43412908567
mujer,Buenos Aires,92878.05379453
mujer,Buenos Aires,157797.20790288606
mujer,Santa Fe,147697.17771459155
hombre,Mendoza,97300.12830933077
mujer,Buenos Aires,224542.49952727545
mujer,Mendoza,25302.894545211075
mujer,San Luis,97019.69641422553
hombre,Buenos Aires,203879.32200071114
mujer,Buenos Aires,28906.27829926608
hombre,San Luis,84284.25462258792
hombre,Córdoba,78039.45061238507
hombre,San Luis,94279.81909569986
mujer,Buenos Aires,31274.732817690572
mujer,Mendoza,64817.94911104423
mujer,Córdoba,100096.4708372008
hombre,Santa Fe,63272.42049605287
hombre,Mendoza,33296.093783301854
mujer,San Luis,19477.536914500357
mujer,Buenos Aires,45498.60687146116
mujer,Buenos Aires,95906.18942848592
mujer,San Luis,44728.12523331073
mujer,San Luis,89025.72112888862
mujer,Buenos Aires,57483.42064404741
hombre,Santa Fe,94704.35055655317
hombre,Buenos Aires,104345.2018509322
hombre,Mendoza,78843.39510690204
mujer,Buenos Aires,174577.19641419288
hombre,Santa Fe,25077.37592902481
mujer,Buenos Aires,68919.25481056617
mujer,Mendoza,51698.48416605475
mujer,Santa Fe,16945.473160998787
hombre,Buenos Aires,278481.3533408176
mujer,Santa Fe,120718.7570211035
hombre,Buenos Aires,216022.80231875894
hombre,Córdoba,99922.61733805024
mujer,Santa Fe,35721.96715226268
mujer,Santa Fe,89583.13893525908
hombre,San Luis,130614.88458439699
hombre,Buenos Aires,150413.37561738153
mujer,Mendoza,74713.39720647894
mujer,Buenos Aires,71489.9730501188
hombre,Córdoba,208460.04333610684
hombre,Buenos Aires,180344.4785695312
mujer,Buenos Aires,197549.39934940258
mujer,Mendoza,29204.09097071861
mujer,Córdoba,86858.12634318735
mujer,Buenos Aires,18893.168685293367
mujer,Mendoza,50371.14606836967
mujer,Santa Fe,173946.17763141598
mujer,Mendoza,111727.896864684
mujer,Mendoza,119773.3098753254
mujer,Buenos Aires,186367.50299506893
mujer,San Luis,14775.723477747315
hombre,Córdoba,62486.36887210636
mujer,Mendoza,24554.686208781695
hombre,Córdoba,89356.48788956182
hombre,Buenos Aires,108903.37362860843
mujer,Mendoza,77730.21891846425
mujer,Córdoba,189036.92874837123
mujer,Córdoba,68963.69430855912
mujer,Buenos Aires,85859.65082556738
mujer,Córdoba,71245.72753595891
mujer,Córdoba,115936.16536650495
mujer,Buenos Aires,167572.12606305303
mujer,Santa Fe,80491.48234312594
mujer,San Luis,127435.87316515726
otros,Córdoba,36169.478792206406
mujer,Buenos Aires,55173.72800137766
hombre,Santa Fe,93319.35681165449
hombre,Buenos Aires,133932.44346152205
mujer,Mendoza,18871.719373887583
mujer,Buenos Aires,150642.9094633936
mujer,Buenos Aires,90343.5456798609
hombre,Córdoba,57172.09941258713
hombre,Santa Fe,39554.84657843456
mujer,San Luis,34800.350519113046
hombre,San Luis,105028.09903285494
mujer,Buenos Aires,40149.364041074245
mujer,Buenos Aires,93311.57165258721
otros,San Luis,29074.80207792428
mujer,Mendoza,88734.63109831874
hombre,Santa Fe,124927.1143488017
mujer,Buenos Aires,161777.82981031848
mujer,San Luis,95322.22061367093
mujer,Buenos Aires,52763.613873647504
mujer,Mendoza,55893.02284214971
hombre,Córdoba,545239.408271398
hombre,Santa Fe,72414.24389876479
mujer,Buenos Aires,74918.47985876651
hombre,Mendoza,46789.85281510438
mujer,Santa Fe,51334.79146315495
mujer,Mendoza,29774.424228264135
otros,Mendoza,54956.39502518022
hombre,Buenos Aires,170745.28346174513
hombre,Buenos Aires,84638.69070467353
mujer,Santa Fe,67850.63285144288
mujer,Mendoza,19256.861488769053
otros,San Luis,9834.15527640176
hombre,Buenos Aires,317874.6576316526
hombre,Mendoza,86665.14687891367
hombre,Buenos Aires,61522.42440829949
hombre,San Luis,16232.413419086515
mujer,Córdoba,221352.6035382912
hombre,Santa Fe,143735.2861979735
otros,Mendoza,41357.74581413205
mujer,Santa Fe,70880.66006129603
mujer,San Luis,96556.32158537647
hombre,San Luis,93465.69492245531
mujer,Buenos Aires,41898.87273390182
mujer,Mendoza,84679.68412383679
mujer,Mendoza,71817.82117800583
mujer,Buenos Aires,246067.0109199035
hombre,Córdoba,172378.08844271454
otros,Buenos Aires,34170.472877016
otros,Mendoza,28659.045402319854
mujer,Mendoza,25593.757309984085
hombre,Córdoba,131233.78212542553
mujer,Buenos Aires,29464.763040364247
hombre,San Luis,34666.56224856373
mujer,Buenos Aires,211869.9052421666
mujer,Mendoza,37328.7583110164
mujer,San Luis,33172.78388891608
mujer,Santa Fe,39746.826590071076
hombre,Córdoba,106098.51779975512
mujer,Mendoza,97036.30791151884
mujer,San Luis,27671.784141835957
hombre,Buenos Aires,189472.67696715298
mujer,San Luis,61695.28779659815
otros,Santa Fe,11250.993101820373
mujer,Buenos Aires,187693.21382155197
hombre,Buenos Aires,124502.7194528437
mujer,Buenos Aires,60835.027390141135
hombre,Córdoba,193935.636357618
mujer,Buenos Aires,158132.404043036
mujer,Mendoza,162578.9092834103
mujer,Mendoza,49693.903212985235
hombre,San Luis,66978.11752605268
mujer,San Luis,30185.09586020153
hombre,Córdoba,127256.48070678474
hombre,Córdoba,206784.31308934072
mujer,Córdoba,116362.81907212661
hombre,Córdoba,65019.48392153181
hombre,Buenos Aires,124943.28298122423
mujer,Santa Fe,40024.15747349267
mujer,Mendoza,277366.7569856375
hombre,San Luis,60626.75334900611
hombre,Córdoba,179801.5988321831
mujer,Buenos Aires,43124.15966209009
mujer,Mendoza,106294.79515013845
mujer,Buenos Aires,100122.45756296335
mujer,San Luis,12358.337867444201
hombre,Santa Fe,56874.96921855106
mujer,San Luis,34849.20505357189
hombre,Mendoza,61902.028168507626
mujer,Córdoba,34154.11093748703
hombre,San Luis,78217.72679118231
hombre,San Luis,70948.08184552767
otros,Santa Fe,5223.917558029375
mujer,Córdoba,50302.80568303689
mujer,Buenos Aires,268565.6400453788
hombre,Buenos Aires,98773.43082961922
hombre,Buenos Aires,175146.53744275094
mujer,Santa Fe,85904.21895151008
hombre,San Luis,117009.72891502305
mujer,San Luis,41984.58730974833
mujer,Córdoba,706316.022891654
hombre,Santa Fe,88560.53315120623
hombre,Córdoba,55479.86420522769
mujer,Santa Fe,29833.220284189618
mujer,San Luis,105567.77383429417
hombre,Mendoza,43159.93108663906
mujer,Córdoba,97195.65900493831
mujer,Buenos Aires,25345.643010801537
mujer,Buenos Aires,159179.14394547793
hombre,Buenos Aires,58704.80206173602
mujer,Buenos Aires,321020.13424842997
hombre,Buenos Aires,123913.70868023601
hombre,Buenos Aires,144827.17509250037
hombre,San Luis,105463.58625343928
hombre,Buenos Aires,122942.29341960116
mujer,Buenos Aires,27737.499760081417
hombre,San Luis,80246.9866678209
mujer,Buenos Aires,63973.72148074185
hombre,Buenos Aires,128364.9777827918
otros,Santa Fe,20469.321758567767
mujer,Buenos Aires,37540.17306404479
hombre,Buenos Aires,47294.58962704956
hombre,San Luis,58757.49225280405
hombre,Mendoza,90122.9267424603
mujer,Buenos Aires,771026.2012177657
hombre,Buenos Aires,299717.18074835476
mujer,Buenos Aires,44163.500135560294
hombre,Buenos Aires,151373.89119344146
hombre,Buenos Aires,134085.51674132104
mujer,Buenos Aires,91407.23646209178
hombre,Santa Fe,34434.01083705214
hombre,Buenos Aires,190006.05822951288
mujer,Santa Fe,25902.170595903637
mujer,San Luis,109650.2190235907
mujer,Buenos Aires,362985.185033614
mujer,Buenos Aires,159108.8801545855
hombre,Buenos Aires,182198.19922296007
hombre,Córdoba,177975.08960214557
hombre,Córdoba,55926.790015421546
hombre,Buenos Aires,358531.5129964411
mujer,Buenos Aires,30646.290848064622
mujer,Córdoba,49926.379815172084
hombre,Buenos Aires,123302.30738903517
mujer,Buenos Aires,233885.74700638483
hombre,Buenos Aires,73338.60021405546
hombre,Buenos Aires,60660.19035439707
mujer,Córdoba,69377.48341801066
mujer,Buenos Aires,315439.0473529979
hombre,Mendoza,46491.55464724807
mujer,Mendoza,19229.34045392774
mujer,Buenos Aires,242594.33119096345
hombre,Buenos Aires,39369.529498049546
hombre,Buenos Aires,124234.55438913387
mujer,Mendoza,148469.1787760825
mujer,Buenos Aires,81705.4259665388
mujer,Buenos Aires,120619.47901761084
hombre,Córdoba,72383.34527097135
mujer,Córdoba,125980.06543891723
mujer,Córdoba,36957.5631103125
otros,Buenos Aires,55456.11062437403
mujer,Buenos Aires,58798.50048646082
mujer,Buenos Aires,446765.8127044718
mujer,Buenos Aires,42771.18601588619
mujer,Buenos Aires,125366.85457593985
hombre,Córdoba,63322.91032853731
hombre,Buenos Aires,48984.02603423416
otros,Buenos Aires,21552.98681682937
hombre,Mendoza,61691.56338148757
mujer,San Luis,74516.31135667737
mujer,Mendoza,28140.810527409645
mujer,Mendoza,30117.353138254097
mujer,Mendoza,89444.16478498779
mujer,Córdoba,108139.83252547255
mujer,Mendoza,47955.275714791765
hombre,San Luis,26498.590954150804
hombre,San Luis,59935.7121912203
mujer,Buenos Aires,139277.40979843301
mujer,Mendoza,35594.87227397105
hombre,Buenos Aires,353517.95193085773
mujer,San Luis,33629.620865729004
hombre,Córdoba,170523.91515162372
hombre,Mendoza,152258.71523634603
mujer,San Luis,104217.88784854302
mujer,Mendoza,97926.06114525389
mujer,Buenos Aires,80201.63440835608
hombre,Santa Fe,108854.93713802935
mujer,Buenos Aires,168201.5122511812
hombre,San Luis,63246.279068023345
hombre,Córdoba,32407.049636803375
hombre,San Luis,192840.7085459137
mujer,Santa Fe,26840.444464571257
hombre,Buenos Aires,53672.337567414776
hombre,Mendoza,46265.6003228045
hombre,Buenos Aires,361134.46334977756
hombre,Córdoba,77287.67664704283
mujer,Santa Fe,18428.33323188204
mujer,Buenos Aires,102514.33079911482
hombre,San Luis,81534.84583994669
mujer,Buenos Aires,44196.770324438156
mujer,San Luis,48074.61978779621
hombre,San Luis,127546.8388469287
mujer,Mendoza,56713.994074328686
mujer,Mendoza,56040.9881504023
mujer,San Luis,23190.081887009277
mujer,Buenos Aires,60309.60609783605
mujer,Mendoza,50700.947812720435
hombre,Buenos Aires,208122.28129652166
hombre,Santa Fe,55943.04991572366
mujer,Santa Fe,32448.985275036885
hombre,San Luis,82171.43707854422
hombre,Buenos Aires,137672.4105703763
hombre,Mendoza,265645.8874487523
hombre,Buenos Aires,219494.82750791073
mujer,Buenos Aires,225219.63017457534
otros,Buenos Aires,89679.19888228166
mujer,Santa Fe,65350.62945364767
hombre,Córdoba,74930.50428844949
hombre,Mendoza,33030.49068471766
hombre,Santa Fe,43321.19253736717
hombre,Córdoba,321593.718450852
mujer,Córdoba,154573.0107059108
mujer,San Luis,117131.42806790049
hombre,Buenos Aires,98138.5724148435
hombre,Córdoba,251911.0038209823
mujer,Buenos Aires,156262.36765814087
hombre,Córdoba,45295.826943508284
hombre,Córdoba,198226.06420834412
mujer,Buenos Aires,97838.79294447393
hombre,Mendoza,50386.94473796404
hombre,Córdoba,515206.74569693365
hombre,Buenos Aires,75223.75937762215
mujer,Buenos Aires,211606.45624415667
mujer,Córdoba,20386.883204769707
mujer,San Luis,164794.6777781856
hombre,Buenos Aires,63140.04299799764
hombre,Mendoza,32939.230730174975
hombre,Córdoba,69932.05034959632
hombre,Córdoba,91016.22432569135
otros,Santa Fe,26813.45430852381
hombre,Santa Fe,29896.249166351437
mujer,San Luis,60001.17415288519
mujer,Buenos Aires,210363.0612832443
mujer,San Luis,18272.41354078377
mujer,Buenos Aires,87986.49610456578
mujer,Buenos Aires,100860.51308491577
mujer,Córdoba,82465.3839160584
mujer,Mendoza,49011.958300600825
mujer,Buenos Aires,144538.86162977407
hombre,Córdoba,44018.3388495691
mujer,Mendoza,88681.02603605892
hombre,Santa Fe,112643.64799614
hombre,Santa Fe,147049.46692997075
mujer,Santa Fe,46259.59971825947
mujer,Buenos Aires,75387.72979949479
mujer,Córdoba,69108.80349946227
otros,Buenos Aires,91812.07597373438
mujer,Mendoza,71517.35185049521
hombre,Santa Fe,59537.32115559475
hombre,Santa Fe,96151.4937783124
hombre,Santa Fe,47362.94572499708
hombre,San Luis,25949.42130643398
mujer,Santa Fe,18270.61888197874
hombre,San Luis,147218.48156368046
hombre,Buenos Aires,115685.70952575059
mujer,Buenos Aires,34402.58956300966
mujer,Buenos Aires,30222.053772775973
mujer,Mendoza,39002.99863696235
hombre,Santa Fe,60100.31415389295
hombre,Mendoza,41752.23276573448
hombre,San Luis,263906.96299585054
mujer,Córdoba,223835.87670562073
mujer,Mendoza,18151.752531074035
hombre,San Luis,19855.834610853468
hombre,Buenos Aires,198418.21943126575
hombre,Córdoba,550254.0053732224
mujer,Buenos Aires,154822.4121403129
hombre,Córdoba,53274.22048222338
mujer,Mendoza,124793.03065403829
hombre,Córdoba,26707.75534095356
mujer,Buenos Aires,28164.632320279426
mujer,Mendoza,255151.23028477601
mujer,Córdoba,88979.55642587256
mujer,Santa Fe,193299.48385226398
hombre,San Luis,145942.34548778294
hombre,Córdoba,66480.03460601112
hombre,Buenos Aires,269132.1475577789
mujer,San Luis,60359.56720554859
hombre,Córdoba,50124.050371698926
hombre,Buenos Aires,50982.3918242563
mujer,Córdoba,451900.504198289
hombre,San Luis,81108.83515943502
hombre,San Luis,198862.115723001
mujer,Córdoba,167530.71342728488
hombre,San Luis,42543.832167246284
mujer,San Luis,212181.34302412395
mujer,Buenos Aires,65197.80247141715
hombre,Mendoza,26476.609521398823
hombre,Buenos Aires,210361.2458059867
hombre,Córdoba,127321.93760026533
hombre,Buenos Aires,224447.07053517678
mujer,Buenos Aires,174819.33431726228
hombre,Santa Fe,94980.30699566595
hombre,Buenos Aires,110535.85269601092
hombre,Buenos Aires,349786.0225708632
hombre,Santa Fe,43565.01088326552
mujer,Santa Fe,35598.49297061798
hombre,Buenos Aires,135393.40560633864
mujer,Córdoba,51596.34234343105
mujer,Buenos Aires,101657.12684919116
hombre,Buenos Aires,280778.68982670386
hombre,Mendoza,104494.1032697744
mujer,Mendoza,199692.43410753645
hombre,Mendoza,49293.814670300926
otros,Buenos Aires,26058.791570932128
otros,Córdoba,33593.04476850004
mujer,San Luis,84215.9839638169
mujer,Mendoza,26626.917456430798
hombre,Buenos Aires,153078.44534324572
mujer,Mendoza,59179.435561468956
hombre,Buenos Aires,78062.47950113926
mujer,San Luis,208840.189435281
hombre,Mendoza,377693.8307907534
hombre,Córdoba,295648.06791029556
hombre,Buenos Aires,187834.21638124812
mujer,San Luis,32613.288387570035
mujer,Mendoza,100861.77431566
mujer,Buenos Aires,115775.49182605383
hombre,Córdoba,192650.55534566724
mujer,Córdoba,51980.46085546621
hombre,Córdoba,249620.7696827223
mujer,Córdoba,69164.92274076474
hombre,Córdoba,173409.9551443809
mujer,Córdoba,42255.33160444992
mujer,San Luis,69747.77558784562
hombre,Buenos Aires,43126.68248223651
mujer,Santa Fe,45366.338354952495
hombre,Mendoza,178753.24623223656
mujer,Córdoba,91008.68776690758
hombre,San Luis,262385.60750256636
hombre,Buenos Aires,186851.77035418546
mujer,Mendoza,71648.15742312506
mujer,Buenos Aires,62777.81767793084
hombre,San Luis,82081.4811060929
mujer,Santa Fe,28701.46525220375
mujer,Córdoba,61384.15401353851
mujer,Buenos Aires,16029.036743370816
mujer,Buenos Aires,79154.39359746026
hombre,Córdoba,121715.45395151248
hombre,Buenos Aires,78105.46348952793
hombre,Córdoba,131746.55030774116
mujer,Buenos Aires,66715.56940363706
hombre,Buenos Aires,37581.82523805209
mujer,Buenos Aires,80375.7744617647
hombre,Buenos Aires,155125.88719594857
mujer,Córdoba,42789.88870302351
mujer,Buenos Aires,80326.32932545258
hombre,Córdoba,148161.47329427782
hombre,Buenos Aires,107405.63743099976
hombre,Córdoba,94616.215295473
hombre,Mendoza,30345.2296040329
hombre,Córdoba,110980.60150447625
mujer,Santa Fe,50912.389655340216
mujer,Buenos Aires,71860.4249038602
hombre,San Luis,60619.96714562037
mujer,Mendoza,39005.207334860504
mujer,Córdoba,34160.65360096525
hombre,Córdoba,137801.9673530915
hombre,Santa Fe,81528.4685118285
hombre,Córdoba,50127.44591847356
mujer,San Luis,61387.904496774674
hombre,San Luis,110338.90058451476
mujer,Mendoza,68368.04490914659
hombre,Córdoba,79592.09751045436
mujer,Buenos Aires,50246.77199178072
hombre,Buenos Aires,112763.87311848957
hombre,Buenos Aires,723593.4824263041
mujer,San Luis,17534.671892342212
mujer,Buenos Aires,42701.00797637005
hombre,Mendoza,29133.32093127171
hombre,San Luis,244373.06119748994
hombre,Córdoba,121095.94211537257
hombre,Buenos Aires,106775.22560231172
hombre,Santa Fe,44017.385691908064
hombre,Buenos Aires,234376.59864977465
mujer,Mendoza,50232.52902473593
mujer,Buenos Aires,100340.8977564612
mujer,Buenos Aires,149993.1398265054
mujer,Mendoza,31167.733464208904
mujer,Buenos Aires,106069.23472250419
hombre,San Luis,53385.06248205965
hombre,San Luis,121856.44029627636
mujer,Córdoba,84790.98776270774
hombre,Mendoza,46168.347071783995
hombre,Mendoza,184826.80441436282
hombre,San Luis,62996.06929561303
mujer,Córdoba,103515.37477544983
mujer,San Luis,29355.08571570859
mujer,Mendoza,52727.91117131519
hombre,Buenos Aires,196219.97860415475
mujer,Buenos Aires,47838.30088952307
hombre,Córdoba,83653.42684952478
hombre,Córdoba,91643.76806534165
hombre,Mendoza,82446.73757221358
mujer,Buenos Aires,27596.58770010592
hombre,Santa Fe,145999.25260297512
hombre,Córdoba,247673.85999727852
mujer,Córdoba,149354.66422061855
otros,San Luis,10123.156884212203
mujer,Mendoza,100965.13329292365
hombre,Mendoza,65758.29464059873
hombre,Buenos Aires,88414.55978060848
hombre,Mendoza,33296.630399973845
hombre,Mendoza,49879.24118564617
hombre,Buenos Aires,129399.20597074296
mujer,Santa Fe,20794.517348094458
mujer,Buenos Aires,360223.7930156604
hombre,Buenos Aires,498619.3550856216
hombre,Buenos Aires,42509.91442322704
hombre,Buenos Aires,84713.6808016204
hombre,San Luis,36002.40451550403
mujer,Córdoba,136430.61361971826
mujer,Mendoza,50777.56577287985
hombre,Santa Fe,44305.22729233426
mujer,San Luis,16145.168047614023
mujer,Buenos Aires,30436.96119813448
mujer,Buenos Aires,83368.50964321865
mujer,Mendoza,19652.276525337544
mujer,Buenos Aires,185943.78426666278
hombre,Buenos Aires,84929.86516069747
mujer,San Luis,42795.85056412428
hombre,Buenos Aires,942168.0520295207
hombre,Santa Fe,62441.96712023037
hombre,Mendoza,85314.57160364355
mujer,San Luis,74625.40017232535
hombre,San Luis,35419.38370061093
mujer,Córdoba,56000.81341915586
hombre,San Luis,157410.93333515094
mujer,Mendoza,64800.29838662997
mujer,Buenos Aires,190286.49159624084
hombre,Mendoza,46519.54756972238
hombre,Córdoba,80053.57275391456
hombre,Buenos Aires,35216.87602674627
mujer,Córdoba,179372.49592167223
hombre,Buenos Aires,246764.6897635321
mujer,Santa Fe,35089.00416681375
mujer,Córdoba,80674.14089062308
hombre,Buenos Aires,34662.83357323476
mujer,Santa Fe,13381.256061122804
mujer,San Luis,171230.58858155136
mujer,Buenos Aires,213758.2671005724
hombre,Buenos Aires,47031.752876244
hombre,Mendoza,39568.42224075489
mujer,San Luis,25092.999871819884
mujer,Santa Fe,33634.957459732126
mujer,San Luis,62805.05407507296
mujer,Mendoza,66386.13844378287
hombre,Mendoza,68504.97784650592
mujer,Buenos Aires,87146.04226769989
